"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url" "name"
"55" "3MbkURW6xUuXYMyZz08qDo" 0.313 0.765 7 -5.619 1 0.0304 0.115 0.0422 0.147 0.0822 150.139 308813 3 "spotify:track:3MbkURW6xUuXYMyZz08qDo" "https://api.spotify.com/v1/audio-analysis/3MbkURW6xUuXYMyZz08qDo" "Save Me"
"56" "4AKRf8MaMfsc1pgpR5e3X9" 0.508 0.905 2 -4.362 1 0.0434 0.000255 0.0193 0.113 0.431 76.012 182947 4 "spotify:track:4AKRf8MaMfsc1pgpR5e3X9" "https://api.spotify.com/v1/audio-analysis/4AKRf8MaMfsc1pgpR5e3X9" "Liquid State"
"57" "21lhern14mW8gwK2oOqMbP" 0.221 0.884 9 -7.445 0 0.246 0.0231 0.224 0.0804 0.0638 86.735 228067 3 "spotify:track:21lhern14mW8gwK2oOqMbP" "https://api.spotify.com/v1/audio-analysis/21lhern14mW8gwK2oOqMbP" "The 2nd Law: Unsustainable"
"58" "4nr4gSTFGmTTSbumSY3kfH" 0.471 0.509 0 -10.9 0 0.0367 0.678 0.936 0.175 0.0595 131.996 299987 4 "spotify:track:4nr4gSTFGmTTSbumSY3kfH" "https://api.spotify.com/v1/audio-analysis/4nr4gSTFGmTTSbumSY3kfH" "The 2nd Law: Isolated System"
"59" "4VqPOruhp5EdPBeR92t6lQ" 0.602 0.905 2 -4.046 1 0.0775 0.000202 0.064 0.117 0.411 128.019 304840 4 "spotify:track:4VqPOruhp5EdPBeR92t6lQ" "https://api.spotify.com/v1/audio-analysis/4VqPOruhp5EdPBeR92t6lQ" "Uprising"
"60" "1C2QJNTmsTxCDBuIgai8QV" 0.467 0.774 9 -6.569 0 0.0485 0.0616 0.289 0.108 0.0916 135.006 346693 4 "spotify:track:1C2QJNTmsTxCDBuIgai8QV" "https://api.spotify.com/v1/audio-analysis/1C2QJNTmsTxCDBuIgai8QV" "Resistance"
"61" "0It6VJoMAare1zdV2wxqZq" 0.683 0.585 8 -6.76 1 0.0323 0.00819 0.0162 0.0797 0.641 115.997 235000 4 "spotify:track:0It6VJoMAare1zdV2wxqZq" "https://api.spotify.com/v1/audio-analysis/0It6VJoMAare1zdV2wxqZq" "Undisclosed Desires"
"62" "0tHbQRjL5phd8OoYl2Bdnd" 0.198 0.554 3 -7.985 1 0.0441 0.238 0.108 0.123 0.0633 80.66 347813 4 "spotify:track:0tHbQRjL5phd8OoYl2Bdnd" "https://api.spotify.com/v1/audio-analysis/0tHbQRjL5phd8OoYl2Bdnd" "United States of Eurasia (+Collateral Damage)"
"63" "7jZ5A8bf63qYaUXfuGoxVk" 0.372 0.85 0 -4.489 1 0.0528 0.00856 0.00218 0.0945 0.347 148.03 253453 4 "spotify:track:7jZ5A8bf63qYaUXfuGoxVk" "https://api.spotify.com/v1/audio-analysis/7jZ5A8bf63qYaUXfuGoxVk" "Guiding Light"
"64" "28FJMlLUu9NHuwlZWFKDn7" 0.327 0.918 7 -5.067 1 0.0623 0.000337 0.246 0.0679 0.107 161.088 414960 4 "spotify:track:28FJMlLUu9NHuwlZWFKDn7" "https://api.spotify.com/v1/audio-analysis/28FJMlLUu9NHuwlZWFKDn7" "Unnatural Selection"
